---2025-10-31 17:56:29.773242: start.---
GPU [1,2,3] is available: True
DDP is available: True

---2025-10-31 17:56:35.065893: Loading data. ---
load: /raid/home/xukai/FRATTVAE/results/chembl_36_20251023_r1r10w1100w900_standardized_f_dyn_oral_struct_1031/input_data/params.yml

data: /raid/home/xukai/FRATTVAE/data/chembl_36_20251023_r1r10w1100w900_standardized_f_dyn_oral.csv
train: 1305313, valid: 72129, test: 72640, useChiral: True, n_jobs: 10
fragments: 149556, feature: 39, tree: (32, 16), prop: None
---2025-10-31 17:59:30.394686: Loading data done. (elapsed time: 00:00:02:55)---

---2025-10-31 17:59:36.790779: Training start (valid: True).---
epoch: 1000, batch_size: 900, learning_rate: 0.0001, dropout: 0.1, save: 200, kl_w: 0.0005, l_w: 6.0, p_w: 1.0
[285/1000] <train> total: 3.1842, unweighted: 152.6066, kl: 152.0885, label: 0.5180, prop: 0.0000, label_acc: 0.6405, label_pad_acc: 0.7834, elapsed time: 00:00:02:54
[290/1000] <train> total: 3.1673, unweighted: 151.6453, kl: 151.1301, label: 0.5153, prop: 0.0000, label_acc: 0.6424, label_pad_acc: 0.7835, elapsed time: 00:00:02:56
[295/1000] <train> total: 3.1446, unweighted: 150.6428, kl: 150.1312, label: 0.5116, prop: 0.0000, label_acc: 0.6439, label_pad_acc: 0.7841, elapsed time: 00:00:02:46
[300/1000] <train> total: 3.1129, unweighted: 149.5957, kl: 149.0893, label: 0.5064, prop: 0.0000, label_acc: 0.6454, label_pad_acc: 0.7847, elapsed time: 00:00:02:50
[305/1000] <train> total: 3.0973, unweighted: 148.6353, kl: 148.1314, label: 0.5039, prop: 0.0000, label_acc: 0.6473, label_pad_acc: 0.7872, elapsed time: 00:00:02:47
[310/1000] <train> total: 3.0760, unweighted: 148.5332, kl: 148.0329, label: 0.5003, prop: 0.0000, label_acc: 0.6488, label_pad_acc: 0.7888, elapsed time: 00:00:02:50
[315/1000] <train> total: 3.0511, unweighted: 147.0036, kl: 146.5073, label: 0.4963, prop: 0.0000, label_acc: 0.6510, label_pad_acc: 0.7900, elapsed time: 00:00:02:50
[320/1000] <train> total: 3.0359, unweighted: 146.1898, kl: 145.6960, label: 0.4938, prop: 0.0000, label_acc: 0.6526, label_pad_acc: 0.7908, elapsed time: 00:00:02:51
[325/1000] <train> total: 3.0118, unweighted: 145.9521, kl: 145.4622, label: 0.4898, prop: 0.0000, label_acc: 0.6543, label_pad_acc: 0.7928, elapsed time: 00:00:02:48
[330/1000] <train> total: 2.9982, unweighted: 144.2961, kl: 143.8084, label: 0.4877, prop: 0.0000, label_acc: 0.6554, label_pad_acc: 0.7939, elapsed time: 00:00:02:51
